DateTime,Average,1550 Evans SECF A,1550 Evans SECF B
4/23/2025 0:00,,45,41
4/24/2025 0:00,,23,23
4/25/2025 0:00,,12,12
4/26/2025 0:00,,10,10
4/27/2025 0:00,,32,31
4/28/2025 0:00,,37,36
4/29/2025 0:00,,45,43
4/30/2025 0:00,,48,45
5/1/2025 0:00,,42,41
5/2/2025 0:00,,27,27
5/3/2025 0:00,,27,25
5/4/2025 0:00,,43,43
5/5/2025 0:00,,33,33
5/6/2025 0:00,,57,57
5/7/2025 0:00,,42,43
5/8/2025 0:00,,24,24
5/9/2025 0:00,,44,44
5/10/2025 0:00,,35,34
5/11/2025 0:00,,14,14
5/12/2025 0:00,,9,8
5/13/2025 0:00,,18,18
5/14/2025 0:00,,37,38
5/15/2025 0:00,,44,45
5/16/2025 0:00,,43,43
5/17/2025 0:00,,23,22
5/18/2025 0:00,,40,42
5/19/2025 0:00,,31,31
5/20/2025 0:00,,37,37
5/21/2025 0:00,,46,47
5/22/2025 0:00,,23,23
5/23/2025 0:00,,29,29
5/24/2025 0:00,,31,31
5/25/2025 0:00,,13,13
5/26/2025 0:00,,17,17
5/27/2025 0:00,,33,33
5/28/2025 0:00,,16,15
5/29/2025 0:00,,15,15
5/30/2025 0:00,,39,38
5/31/2025 0:00,,48,47
6/1/2025 0:00,,59,59
6/2/2025 0:00,,40,40
6/3/2025 0:00,,40,40
6/4/2025 0:00,,54,55
6/5/2025 0:00,,29,29
6/6/2025 0:00,,28,27
6/7/2025 0:00,,31,31
6/8/2025 0:00,,16,15
6/9/2025 0:00,,15,15
6/10/2025 0:00,,25,25
6/11/2025 0:00,,42,43
6/12/2025 0:00,,52,53
6/13/2025 0:00,,47,47
6/14/2025 0:00,,42,42
6/15/2025 0:00,,48,48
6/16/2025 0:00,,34,34
6/17/2025 0:00,,23,23
6/18/2025 0:00,,28,27
6/19/2025 0:00,,45,44
6/20/2025 0:00,,36,35
6/21/2025 0:00,,23,23
6/22/2025 0:00,,32,32
6/23/2025 0:00,,30,31
6/24/2025 0:00,,18,18
6/25/2025 0:00,,26,27
6/26/2025 0:00,,26,25
6/27/2025 0:00,,35,35
6/28/2025 0:00,,24,23
6/29/2025 0:00,,14,13
6/30/2025 0:00,,20,20
7/1/2025 0:00,,17,17
7/2/2025 0:00,,26,25
7/3/2025 0:00,,29,27
7/4/2025 0:00,,24,23
7/5/2025 0:00,,26,25
7/6/2025 0:00,,29,28
7/7/2025 0:00,,13,13
7/8/2025 0:00,,8,8
7/9/2025 0:00,,13,12
7/10/2025 0:00,,21,20
7/11/2025 0:00,,32,31
7/12/2025 0:00,,19,18
7/13/2025 0:00,,15,14
7/14/2025 0:00,,10,10
7/15/2025 0:00,,14,13
7/16/2025 0:00,,4,3
7/17/2025 0:00,,3,3
7/18/2025 0:00,,16,15
7/19/2025 0:00,,22,22
7/20/2025 0:00,,28,27
7/21/2025 0:00,,11,11
7/22/2025 0:00,,12,12
7/23/2025 0:00,,2,2
7/24/2025 0:00,,5,5
7/25/2025 0:00,,3,3
7/26/2025 0:00,,5,5
7/27/2025 0:00,,9,9
7/28/2025 0:00,,21,21
7/29/2025 0:00,,28,28
7/30/2025 0:00,,28,28
7/31/2025 0:00,,12,12
8/1/2025 0:00,,11,10
8/2/2025 0:00,,12,11
8/3/2025 0:00,,38,36
8/4/2025 0:00,,30,29
8/5/2025 0:00,,28,27
8/6/2025 0:00,,27,26
8/7/2025 0:00,,23,22
8/8/2025 0:00,,41,40
8/9/2025 0:00,,30,30
8/10/2025 0:00,,17,17
8/11/2025 0:00,,27,27
8/12/2025 0:00,,30,30
8/13/2025 0:00,,5,5
8/14/2025 0:00,,14,13
8/15/2025 0:00,,22,21
8/16/2025 0:00,,4,3
8/17/2025 0:00,,19,18
8/18/2025 0:00,,17,17
8/19/2025 0:00,,23,23
8/20/2025 0:00,,39,40
8/21/2025 0:00,,54,54
8/22/2025 0:00,,40,39
8/23/2025 0:00,,25,24
8/24/2025 0:00,,17,16
8/25/2025 0:00,,21,21
8/26/2025 0:00,,41,41
8/27/2025 0:00,,44,44
8/28/2025 0:00,,24,24
8/29/2025 0:00,,30,31
8/30/2025 0:00,,41,42
8/31/2025 0:00,,43,43
9/1/2025 0:00,,37,36
9/2/2025 0:00,,31,31
9/3/2025 0:00,,28,28
9/4/2025 0:00,,11,11
9/5/2025 0:00,,14,15
9/6/2025 0:00,,31,32
9/7/2025 0:00,,19,19
9/8/2025 0:00,,6,6
9/9/2025 0:00,,14,14
9/10/2025 0:00,,18,18
9/11/2025 0:00,,44,45
9/12/2025 0:00,,36,36
9/13/2025 0:00,,22,21
9/14/2025 0:00,,9,9
9/15/2025 0:00,,25,26
9/16/2025 0:00,,29,30
9/17/2025 0:00,,23,23
9/18/2025 0:00,,38,36
9/19/2025 0:00,,30,30
9/20/2025 0:00,,31,31
9/21/2025 0:00,,24,24
9/22/2025 0:00,,37,36
9/23/2025 0:00,,39,40
9/24/2025 0:00,,45,44
9/25/2025 0:00,,51,51
9/26/2025 0:00,,64,64
9/27/2025 0:00,,72,72
9/28/2025 0:00,,65,66
9/29/2025 0:00,,36,38
9/30/2025 0:00,,9,9
10/1/2025 0:00,,6,6
10/2/2025 0:00,,15,15
10/3/2025 0:00,,15,15
10/4/2025 0:00,,27,26
10/5/2025 0:00,,34,33
10/6/2025 0:00,,26,26
10/7/2025 0:00,,43,44
10/8/2025 0:00,31.2,31,31
